73;;CUNEIFORM SIGN BAR;;12047;;bar
74;;CUNEIFORM SIGN BARA2;;12048;;bara<sub>2</sub>
75;;CUNEIFORM SIGN BI;;12049;;bi
76;;CUNEIFORM SIGN BI TIMES A;;1204A;;bi×a
77;;CUNEIFORM SIGN BI TIMES GAR;;1204B;;bi×gar
78;;CUNEIFORM SIGN BI TIMES IGI GUNU;;1204C;;bi×igigunû
79;;CUNEIFORM SIGN BU;;1204D;;bu
80;;CUNEIFORM SIGN BU OVER BU AB;;1204E;;bu/buab
81;;CUNEIFORM SIGN BU OVER BU UN;;1204F;;bu/buun
82;;CUNEIFORM SIGN BU CROSSING BU;;12050;;bukreuztbu
83;;CUNEIFORM SIGN BULUG;;12051;;bulug
84;;CUNEIFORM SIGN BULUG OVER BULUG;;12052;;bulug/bulug
85;;CUNEIFORM SIGN BUR;;12053;;bur
86;;CUNEIFORM SIGN BUR2;;12054;;bur<sub>2</sub>
87;;CUNEIFORM SIGN DA;;12055;;da
88;;CUNEIFORM SIGN DAG;;12056;;dag
89;;CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH;;12057;;dagkisim<sub>5</sub>×a+maš
90;;CUNEIFORM SIGN DAG KISIM5 TIMES AMAR;;12058;;dagkisim<sub>5</sub>×amar
91;;CUNEIFORM SIGN DAG KISIM5 TIMES BALAG;;12059;;dagkisim<sub>5</sub>×balag
92;;CUNEIFORM SIGN DAG KISIM5 TIMES BI;;1205A;;dagkisim<sub>5</sub>×bi
93;;CUNEIFORM SIGN DAG KISIM5 TIMES GA;;1205B;;dagkisim<sub>5</sub>×ga
94;;CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH;;1205C;;dagkisim<sub>5</sub>×ga+maš
95;;CUNEIFORM SIGN DAG KISIM5 TIMES GI;;1205D;;dagkisim<sub>5</sub>×gi
96;;CUNEIFORM SIGN DAG KISIM5 TIMES GIR2;;1205E;;dagkisim<sub>5</sub>×gir<sub>2</sub>
97;;CUNEIFORM SIGN DAG KISIM5 TIMES GUD;;1205F;;dagkisim<sub>5</sub>×gud
98;;CUNEIFORM SIGN DAG KISIM5 TIMES HA;;12060;;dagkisim<sub>5</sub>×ḫa
99;;CUNEIFORM SIGN DAG KISIM5 TIMES IR;;12061;;dagkisim<sub>5</sub>×ir
100;;CUNEIFORM SIGN DAG KISIM5 TIMES IR PLUS LU;;12062;;dagkisim<sub>5</sub>×ir+lu
101;;CUNEIFORM SIGN DAG KISIM5 TIMES KAK;;12063;;dagkisim<sub>5</sub>×kak
102;;CUNEIFORM SIGN DAG KISIM5 TIMES LA;;12064;;dagkisim<sub>5</sub>×la
103;;CUNEIFORM SIGN DAG KISIM5 TIMES LU;;12065;;dagkisim<sub>5</sub>×lu
104;;CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2;;12066;;dagkisim<sub>5</sub>×lu+maš<sub>2</sub>
105;;CUNEIFORM SIGN DAG KISIM5 TIMES LUM;;12067;;dagkisim<sub>5</sub>×lum
106;;CUNEIFORM SIGN DAG KISIM5 TIMES NE;;12068;;dagkisim<sub>5</sub>×ne
107;;CUNEIFORM SIGN DAG KISIM5 TIMES PAP PLUS PAP;;12069;;dagkisim<sub>5</sub>×pap+pap
108;;CUNEIFORM SIGN DAG KISIM5 TIMES SI;;1206A;;dagkisim<sub>5</sub>×si
109;;CUNEIFORM SIGN DAG KISIM5 TIMES TAK4;;1206B;;dagkisim<sub>5</sub>×tak<sub>4</sub>
110;;CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2;;1206C;;dagkisim<sub>5</sub>×u<sub>2</sub>+gir<sub>2</sub>
111;;CUNEIFORM SIGN DAG KISIM5 TIMES USH;;1206D;;dagkisim<sub>5</sub>×uš
112;;CUNEIFORM SIGN DAM;;1206E;;dam
113;;CUNEIFORM SIGN DAR;;1206F;;dar
114;;CUNEIFORM SIGN DARA3;;12070;;dara<sub>3</sub>
115;;CUNEIFORM SIGN DARA4;;12071;;dara<sub>4</sub>
116;;CUNEIFORM SIGN DI;;12072;;di
117;;CUNEIFORM SIGN DIB;;12073;;dib
118;;CUNEIFORM SIGN DIM;;12074;;dim
119;;CUNEIFORM SIGN DIM TIMES SHE;;12075;;dim×še
120;;CUNEIFORM SIGN DIM2;;12076;;dim<sub>2</sub>
121;;CUNEIFORM SIGN DIN;;12077;;din
122;;CUNEIFORM SIGN DIN KASKAL U GUNU DISH;;12078;;dinkaskalugunûdiš
123;;CUNEIFORM SIGN DISH;;12079;;diš
124;;CUNEIFORM SIGN DU;;1207A;;du
125;;CUNEIFORM SIGN DU OVER DU;;1207B;;du/du
126;;CUNEIFORM SIGN DU GUNU;;1207C;;dugunû
127;;CUNEIFORM SIGN DU SHESHIG;;1207D;;dušešig
128;;CUNEIFORM SIGN DUB;;1207E;;dub
129;;CUNEIFORM SIGN DUB TIMES ESH2;;1207F;;dub×eš<sub>2</sub>
130;;CUNEIFORM SIGN DUB2;;12080;;dub<sub>2</sub>
131;;CUNEIFORM SIGN DUG;;12081;;dug
132;;CUNEIFORM SIGN DUGUD;;12082;;dugud
133;;CUNEIFORM SIGN DUH;;12083;;duḫ
